Term (EN),Translation (IT),Part of Speech,Description,Domain
AC,CA,,Combat term,Combat
AoO,AdO,,Combat term,Combat
Armor Class,Classe Armatura,,Combat term,Combat
Attack,Attacco,,Combat term,Combat
Attack of Opportunity,Attacco di Opportunita,,Combat term,Combat
Base Attack Bonus,Bonus di Attacco Base,,Combat term,Combat
Blinded,Accecato,adj,Condition,Combat
Charge,Carica,,Combat term,Combat
Concealment,Occultamento,,Combat term,Combat
Confused,Confuso,adj,Condition,Combat
Cover,Copertura,,Combat term,Combat
Cowering,Atterrito,adj,Condition,Combat
Critical Hit,Colpo Critico,,Combat term,Combat
Critical Threat,Minaccia di Critico,,Combat term,Combat
Damage,Danno,,Combat term,Combat
Dazed,Frastornato,adj,Condition,Combat
Dazzled,Abbagliato,adj,Condition,Combat
Dead,Morto,adj,Condition,Combat
Deafened,Assordato,adj,Condition,Combat
Disabled,Inabile,adj,Condition,Combat
DR,RD,,Combat term,Combat
Dying,Morente,adj,Condition,Combat
Entangled,Intralciato,adj,Condition,Combat
Exhausted,Esausto,adj,Condition,Combat
Fascinated,Affascinato,adj,Condition,Combat
Fatigued,Affaticato,adj,Condition,Combat
Flanking,Fiancheggiamento,,Combat term,Combat
Flat-Footed,Colto alla Sprovvista,,Combat term,Combat
Fortitude,Tempra,,Combat term,Combat
Free Action,Azione Gratuita,,Combat term,Combat
Frightened,Spaventato,adj,Condition,Combat
Full Attack,Attacco Completo,,Combat term,Combat
Full-Round Action,Azione di Round Completo,,Combat term,Combat
Grapple,Lotta,,Combat term,Combat
Grappling,In Lotta,adj,Condition,Combat
HD,DV,,Combat term,Combat
Helpless,Indifeso,adj,Condition,Combat
Hit Dice,Dadi Vita,,Combat term,Combat
Hit Points,Punti Ferita,,Combat term,Combat
HP,PF,,Combat term,Combat
Immediate Action,Azione Immediata,,Combat term,Combat
Initiative,Iniziativa,,Combat term,Combat
Invisible,Invisibile,adj,Condition,Combat
Melee,Mischia,,Combat term,Combat
Move Action,Azione di Movimento,,Combat term,Combat
Natural Armor,Armatura Naturale,,Combat term,Combat
Nauseated,Nauseato,adj,Condition,Combat
Nonlethal Damage,Danno Non Letale,,Combat term,Combat
Panicked,In Panico,adj,Condition,Combat
Paralyzed,Paralizzato,adj,Condition,Combat
Petrified,Pietrificato,adj,Condition,Combat
Pinned,Immobilizzato,adj,Condition,Combat
Prone,Prono,adj,Condition,Combat
Ranged,Distanza,,Combat term,Combat
Ranged Touch Attack,Attacco di Contatto a Distanza,,Combat term,Combat
Reflex,Riflessi,,Combat term,Combat
Saving Throw,Tiro Salvezza,,Combat term,Combat
Shaken,Scosso,adj,Condition,Combat
Sickened,Infermo,adj,Condition,Combat
Sneak Attack,Attacco Furtivo,,Combat term,Combat
SR,RI,,Combat term,Combat
Stable,Stabile,adj,Condition,Combat
Staggered,Barcollante,adj,Condition,Combat
Standard Action,Azione Standard,,Combat term,Combat
Stunned,Stordito,adj,Condition,Combat
Swift Action,Azione Veloce,,Combat term,Combat
Threatened Area,Area Minacciata,,Combat term,Combat
Touch AC,CA di Contatto,,Combat term,Combat
Touch Attack,Attacco di Contatto,,Combat term,Combat
Turned,Scacciato,adj,Condition,Combat
Unconscious,Privo di Sensi,adj,Condition,Combat
Will,Volonta,,Combat term,Combat
Ability Damage,Danno alle Caratteristiche,,Game term,Core Rules
Ability Drain,Risucchio di Caratteristica,,Game term,Core Rules
Ability Modifier,Modificatore di Caratteristica,,Character term,Core Rules
Ability Score,Punteggio di Caratteristica,,Character term,Core Rules
Alignment,Allineamento,,Character term,Core Rules
Always,Sempre,adv,Alignment,Core Rules
Animal Companion,Compagno Animale,,Game term,Core Rules
Any,Qualsiasi,adv,Alignment,Core Rules
Arcane Spell Failure,Fallimento Incantesimo Arcano,,Game term,Core Rules
Armor Check Penalty,Penalita di Armatura,,Character term,Core Rules
Bardic Music,Musica Bardica,,Game term,Core Rules
Base Class,Classe Base,,Character term,Core Rules
Base Save,Tiro Salvezza Base,,Character term,Core Rules
Benefit,Beneficio,,Character term,Core Rules
Bonus Feat,Talento Bonus,,Character term,Core Rules
Bonus Spell,Incantesimo Bonus,,Game term,Core Rules
CHA,CAR,noun,Ability score,Core Rules
Channel Energy,Incanalare Energia,,Game term,Core Rules
Chaotic Evil,Caotico Malvagio,noun,Alignment,Core Rules
Chaotic Good,Caotico Buono,noun,Alignment,Core Rules
Chaotic Neutral,Caotico Neutrale,noun,Alignment,Core Rules
Character Level,Livello del Personaggio,,Character term,Core Rules
Charisma,Carisma,noun,Ability score,Core Rules
Class Level,Livello di Classe,,Character term,Core Rules
Class Skill,Abilita di Classe,,Character term,Core Rules
Colossal,Colossale,adj,Creature size category,Core Rules
CON,COS,noun,Ability score,Core Rules
Constitution,Costituzione,noun,Ability score,Core Rules
Cross-Class Skill,Abilita Fuori Classe,,Character term,Core Rules
DC,CD,,Game term,Core Rules
DEX,DES,noun,Ability score,Core Rules
Dexterity,Destrezza,noun,Ability score,Core Rules
Difficulty Class,Classe Difficolta,,Game term,Core Rules
Diminutive,Piccolissima,adj,Creature size category,Core Rules
ECL,LEP,,Character term,Core Rules
Effective Character Level,Livello Effettivo del Personaggio,,Character term,Core Rules
Evasion,Eludere,,Game term,Core Rules
Experience Points,Punti Esperienza,,Character term,Core Rules
Familiar,Famiglio,,Game term,Core Rules
Feat,Talento,,Character term,Core Rules
Feats,Talenti,,Character term,Core Rules
Fine,Minuscola,adj,Creature size category,Core Rules
Gargantuan,Mastodontica,adj,Creature size category,Core Rules
Hit Die,Dado Vita,,Character term,Core Rules
Huge,Enorme,adj,Creature size category,Core Rules
Improved Evasion,Eludere Migliorato,,Game term,Core Rules
Improved Uncanny Dodge,Schivata Prodigiosa Migliorata,,Game term,Core Rules
Intelligence,Intelligenza,noun,Ability score,Core Rules
Large,Grande,adj,Creature size category,Core Rules
Lawful Evil,Legale Malvagio,noun,Alignment,Core Rules
Lawful Good,Legale Buono,noun,Alignment,Core Rules
Lawful Neutral,Legale Neutrale,noun,Alignment,Core Rules
Lay on Hands,Imposizione delle Mani,,Game term,Core Rules
Level,Livello,,Character term,Core Rules
Level Adjustment,Modificatore di Livello,,Character term,Core Rules
Medium,Media,adj,Creature size category,Core Rules
Multiclass,Multiclasse,,Character term,Core Rules
Natural Weapon,Arma Naturale,,Game term,Core Rules
Negative Level,Livello Negativo,,Game term,Core Rules
Neutral Evil,Neutrale Malvagio,noun,Alignment,Core Rules
Neutral Good,Neutrale Buono,noun,Alignment,Core Rules
Normal,Normale,,Character term,Core Rules
Often,Spesso,adv,Alignment,Core Rules
Prerequisite,Prerequisito,,Character term,Core Rules
Prerequisites,Prerequisiti,,Character term,Core Rules
Prestige Class,Classe di Prestigio,,Character term,Core Rules
Proficiency,Competenza,,Character term,Core Rules
Proficient,Competente,,Character term,Core Rules
Rebuke Undead,Intimorire Non Morti,,Game term,Core Rules
Skill,Abilita,,Character term,Core Rules
Skill Points,Punti Abilita,,Character term,Core Rules
Skill Ranks,Gradi di Abilita,,Character term,Core Rules
Skills,Abilita,,Character term,Core Rules
Small,Piccola,adj,Creature size category,Core Rules
Smite Evil,Punire il Male,,Game term,Core Rules
Special,Speciale,,Character term,Core Rules
Spell Component,Componente dell'Incantesimo,,Game term,Core Rules
Spell Failure,Fallimento Incantesimo,,Game term,Core Rules
Spellbook,Libro degli Incantesimi,,Game term,Core Rules
STR,FOR,noun,Ability score,Core Rules
Strength,Forza,noun,Ability score,Core Rules
Tiny,Minuta,adj,Creature size category,Core Rules
Trained Only,Solo Addestrata,,Character term,Core Rules
Trap Sense,Percepire Trappole,,Game term,Core Rules
Trapfinding,Trovare Trappole,,Game term,Core Rules
True Neutral,Neutrale Puro,noun,Alignment,Core Rules
Turn Undead,Scacciare Non Morti,,Game term,Core Rules
Uncanny Dodge,Schivata Prodigiosa,,Game term,Core Rules
Usually,Di solito,adv,Alignment,Core Rules
Wild Shape,Forma Selvatica,,Game term,Core Rules
WIS,SAG,noun,Ability score,Core Rules
Wisdom,Saggezza,noun,Ability score,Core Rules
XP,PE,,Character term,Core Rules
Acid (flask),Acido (fiasca),noun,Equipment,Equipment
Adventuring Gear,Equipaggiamento da Avventura,,Equipment term,Equipment
Alchemist’s fire (flask),Fuoco dell'alchimista (fiasca),noun,Equipment,Equipment
Alchemist’s lab,Laboratorio da alchimista,noun,Equipment,Equipment
Ale,Birra,noun,Equipment,Equipment
Amazing,Eccezionale,noun,Equipment,Equipment
